"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Pressure"	"Temperature"	"Mach"	"C<sub>p</sub>"
0	9.997500181200000e-01	-3.632896519016437e-05	1.186903838674199e+00	7.475527526564977e-01	1.005056790641045e-01	3.415596070181705e+00	1.270369413079191e+00	1.070322103345984e+00	5.191526827976332e-01	6.035031541946226e-01	
1	9.990000128750000e-01	-1.452537504052920e-04	1.162738376253330e+00	7.721276444707547e-01	1.098444107166984e-01	3.353701433403248e+00	1.236857399938298e+00	1.063745228676291e+00	5.496359272892570e-01	5.286995534337002e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	1.147865299865899e+00	7.948762819096764e-01	1.139998161584292e-01	3.317279259904168e+00	1.214559799656860e+00	1.058103071674658e+00	5.747801376381264e-01	4.789281242340635e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	1.135662527271078e+00	8.125057626294611e-01	1.165807421464949e-01	3.287368705588825e+00	1.196293098989390e+00	1.053387842129478e+00	5.951741751487383e-01	4.381542388156033e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	1.125261039670491e+00	8.260124748310367e-01	1.186867656244215e-01	3.261692038347312e+00	1.180904084859462e+00	1.049449010698233e+00	6.118235051525864e-01	4.038037608470126e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	1.116257992024187e+00	8.373033845060586e-01	1.200598738849245e-01	3.239461559891375e+00	1.167590006558986e+00	1.045985797997930e+00	6.261965852265304e-01	3.740848360691660e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.108016012641813e+00	8.466973518992953e-01	1.209680659658229e-01	3.218967792808680e+00	1.155543957033642e+00	1.042894636764779e+00	6.388305896881812e-01	3.471963326643792e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	1.100490091879466e+00	8.550376585430852e-01	1.216210061646894e-01	3.200252372136173e+00	1.144546604081859e+00	1.040033538263985e+00	6.503706959306748e-01	3.226486698255777e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	1.093469502480025e+00	8.624248287963463e-01	1.220556382494588e-01	3.182747039175594e+00	1.134334238801437e+00	1.037371628773121e+00	6.609822112835473e-01	2.998532116103510e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.086873600206602e+00	8.691212220936206e-01	1.222942301919493e-01	3.166279541992385e+00	1.124760728669444e+00	1.034858817488657e+00	6.708943165657921e-01	2.784837693514368e-01	
10	9.701499938960000e-01	-4.256268552403566e-03	1.080619381109252e+00	8.752340469229858e-01	1.223665148241877e-01	3.150640355047459e+00	1.115707892284335e+00	1.032470740196298e+00	6.802243125618048e-01	2.582765452775332e-01	
11	9.645400047300000e-01	-5.038225493362627e-03	1.074648245775713e+00	8.808660904996574e-01	1.222958539421120e-01	3.135687667084826e+00	1.107086189284012e+00	1.030184708006371e+00	6.890770162309092e-01	2.390316725089549e-01	
12	9.584699869160000e-01	-5.878077433056352e-03	1.068920711761959e+00	8.860979968194577e-01	1.220920699933489e-01	3.121327967455844e+00	1.098833248731350e+00	1.027983868812949e+00	6.975301718121835e-01	2.206099302039061e-01	
13	9.519400000570000e-01	-6.774428848839826e-03	1.063400331667109e+00	8.909708648338216e-01	1.217679040926409e-01	3.107468037003338e+00	1.090898395498053e+00	1.025858618821226e+00	7.056307155438609e-01	2.028982042367262e-01	
14	9.449599981310000e-01	-7.724467125531491e-03	1.058064818076765e+00	8.955407053945311e-01	1.213332454428961e-01	3.094057504325546e+00	1.083244007643112e+00	1.023797397981831e+00	7.134309404120622e-01	1.858125170605179e-01	
15	9.375399947170000e-01	-8.725349486403867e-03	1.052894690015694e+00	8.998356638283453e-01	1.207967821244516e-01	3.081047615652733e+00	1.075841927526315e+00	1.021794427997618e+00	7.209595519016931e-01	1.692900167998111e-01	
16	9.296900033950000e-01	-9.774221272349531e-03	1.047868570234675e+00	9.038900094846254e-01	1.201656585862873e-01	3.068386441144429e+00	1.068659686971128e+00	1.019841340151845e+00	7.282537699771472e-01	1.532582298462684e-01	
17	9.214000105860000e-01	-1.087086069705918e-02	1.042968601078466e+00	9.077290226808497e-01	1.194508116625820e-01	3.056030021460644e+00	1.061670740983831e+00	1.017931642319842e+00	7.353426475940437e-01	1.376579039817653e-01	
18	9.126999974250000e-01	-1.200973104171110e-02	1.038186250621742e+00	9.113726138756415e-01	1.186531089582091e-01	3.043958386278188e+00	1.054861376430346e+00	1.016061786407418e+00	7.422434884679793e-01	1.224584295320214e-01	
19	9.035800099370001e-01	-1.319055953446835e-02	1.033503911055861e+00	9.148272179719282e-01	1.177800170593285e-01	3.032124084506720e+00	1.048209527062972e+00	1.014228892459717e+00	7.489705693156703e-01	1.076105514798485e-01	
20	8.940600156780000e-01	-1.440916392228702e-02	1.028919583225078e+00	9.181268392117721e-01	1.168352807488031e-01	3.020529001747754e+00	1.041705415050720e+00	1.012426463675194e+00	7.555508690983811e-01	9.309244430964263e-02	
21	8.841500282290000e-01	-1.566269158090452e-02	1.024425746211617e+00	9.212741487772484e-01	1.158254175768409e-01	3.009152454962451e+00	1.035340029929565e+00	1.010654050582299e+00	7.619887701390677e-01	7.888399537849325e-02	
22	8.738499879840000e-01	-1.694956337677533e-02	1.020000478489026e+00	9.242684179559225e-01	1.147516934518516e-01	2.997933910839056e+00	1.029087357931917e+00	1.008908701157035e+00	7.682974826164202e-01	6.492713824088633e-02	
23	8.631799817090000e-01	-1.826569132102762e-02	1.015650667492682e+00	9.271511134226912e-01	1.136200381726005e-01	2.986901917587401e+00	1.022946042125804e+00	1.007182956568258e+00	7.745060448893544e-01	5.121884403081270e-02	
24	8.521599769590000e-01	-1.960709133914372e-02	1.011353756729207e+00	9.299068846488739e-01	1.124330702409526e-01	2.975990848240928e+00	1.016892656027590e+00	1.005476717974822e+00	7.806165925363733e-01	3.770682149015611e-02	
25	8.407700061800000e-01	-2.097463226217677e-02	1.007106685252952e+00	9.325585923832440e-01	1.111968478334202e-01	2.965197896226933e+00	1.010917920836121e+00	1.003784341459527e+00	7.866508914938476e-01	2.437035900919811e-02	
26	8.290500044819999e-01	-2.236196298315981e-02	1.002896408286846e+00	9.351030514561762e-01	1.099052490944830e-01	2.954486232090803e+00	1.005007164993460e+00	1.002104660749777e+00	7.926144234649098e-01	1.117670757468748e-02	
27	8.170099854470000e-01	-2.376642068849115e-02	9.987225870512944e-01	9.375588418204605e-01	1.085646835727713e-01	2.943859540227917e+00	9.991553658959917e-01	1.000433332389103e+00	7.985237507315802e-01	-1.885343982161289e-03	
28	8.046399950980000e-01	-2.518763605296113e-02	9.945773519187919e-01	9.399201049753881e-01	1.071746664253175e-01	2.933294566855893e+00	9.933547075070829e-01	9.987706894699040e-01	8.043787023903300e-01	-1.483324217169000e-02	
29	7.919700145720000e-01	-2.662062628442961e-02	9.904597119424408e-01	9.421910408620563e-01	1.057317514769315e-01	2.922789215631540e+00	9.876033743609546e-01	9.971161496555128e-01	8.101822906655340e-01	-2.767103937286925e-02	
30	7.790099978450000e-01	-2.806276676215449e-02	9.863672416941986e-01	9.443922377887435e-01	1.042374056863073e-01	2.912342212061754e+00	9.818930655694552e-01	9.954639854857119e-01	8.159554025821742e-01	-4.041726435389461e-02	
31	7.657799720760000e-01	-2.951033727360171e-02	9.822863737620051e-01	9.465221649600724e-01	1.026942266790700e-01	2.901916462852604e+00	9.762073085051761e-01	9.938113106124572e-01	8.217087216724284e-01	-5.310868637237474e-02	
32	7.522799968720000e-01	-3.096181144522562e-02	9.781846593452540e-01	9.485758023159349e-01	1.010962187763547e-01	2.891423053626092e+00	9.705069090851388e-01	9.921510216023485e-01	8.274673673195626e-01	-6.583279222067229e-02	
33	7.385200262070000e-01	-3.241453277608040e-02	9.740620708718132e-01	9.505768173590746e-01	9.944572570016393e-02	2.880868472749955e+00	9.647852684965289e-01	9.904761691757681e-01	8.332555590213041e-01	-7.860431139167656e-02	
34	7.245299816130000e-01	-3.386376679305321e-02	9.699206719978041e-01	9.525256235054943e-01	9.773310834954320e-02	2.870258113100901e+00	9.590451396916480e-01	9.887871940251001e-01	8.390717720108247e-01	-9.141709890257153e-02	
35	7.103199958800001e-01	-3.530689307158652e-02	9.657534806621332e-01	9.544048035504240e-01	9.596394049911416e-02	2.859568543510869e+00	9.532823921282467e-01	9.870866750329123e-01	8.449071902846804e-01	-1.042803747137350e-01	
36	6.958900094030001e-01	-3.674225211597043e-02	9.615688901473157e-01	9.562508237330933e-01	9.412482084945223e-02	2.848832199073849e+00	9.474977318100811e-01	9.853664584187218e-01	8.507897653089366e-01	-1.171925629239261e-01	
37	6.812700033190000e-01	-3.816515293304169e-02	9.573357626631378e-01	9.580202975613461e-01	9.221529610649809e-02	2.837953490501719e+00	9.416638055073827e-01	9.836296127576407e-01	8.567088821584153e-01	-1.302147198495922e-01	
38	6.664699912070000e-01	-3.957289370556494e-02	9.530605598482409e-01	9.597482354870360e-01	9.023048977015027e-02	2.826959726415099e+00	9.357788182855101e-01	9.818671107684045e-01	8.626951034278992e-01	-1.433508520412720e-01	
39	6.514999866490000e-01	-4.096270419333766e-02	9.487238840426263e-01	9.614282622432695e-01	8.815936529672075e-02	2.815797196812218e+00	9.298198988198436e-01	9.800743023963617e-01	8.687638001085323e-01	-1.566520115628491e-01	
40	6.363800168040000e-01	-4.233084266562091e-02	9.443229705628458e-01	9.630552051466813e-01	8.600659020260708e-02	2.804457486628476e+00	9.237845363143699e-01	9.782506251688083e-01	8.749163745181080e-01	-1.701238028697102e-01	
41	6.211299896240000e-01	-4.367359094194759e-02	9.398453470544915e-01	9.646398276597434e-01	8.375055306303074e-02	2.792910290181297e+00	9.176538125562901e-01	9.763880998424366e-01	8.811791495670522e-01	-1.838084541154239e-01	
42	6.057599782940000e-01	-4.498807223669178e-02	9.352851289815315e-01	9.661685180417726e-01	8.140055261228128e-02	2.781136678086947e+00	9.114234292980359e-01	9.744872457135297e-01	8.875496721682647e-01	-1.977155596025985e-01	
43	5.902799963950000e-01	-4.627132533375768e-02	9.306338423674270e-01	9.676534042121235e-01	7.893115206511121e-02	2.769117549258759e+00	9.050790075513100e-01	9.725403981107025e-01	8.940528079119526e-01	-2.118772152872545e-01	
44	5.747100114820000e-01	-4.751950934859488e-02	9.258913080818033e-01	9.690785706267431e-01	7.634885445806246e-02	2.756848530055354e+00	8.986242172088982e-01	9.705504408185937e-01	9.006780794454253e-01	-2.262852294444237e-01	
45	5.590599775310000e-01	-4.872955796694115e-02	9.210526619359504e-01	9.704537933029286e-01	7.363181601951155e-02	2.744319766837175e+00	8.920497195016968e-01	9.685110921092258e-01	9.074455427902979e-01	-2.409604475408555e-01	
46	5.433599948880000e-01	-4.989683951066199e-02	9.161238794686506e-01	9.717602876664747e-01	7.078896912050492e-02	2.731542452518760e+00	8.853679056127258e-01	9.664281495710352e-01	9.143351120606714e-01	-2.558752106858799e-01	
47	5.276100039480000e-01	-5.101897737545535e-02	9.111252856723270e-01	9.729948562642867e-01	6.779820105805562e-02	2.718569816578478e+00	8.786058027493863e-01	9.643084398662648e-01	9.213236192892571e-01	-2.709691902915485e-01	
48	5.118399858470000e-01	-5.209138375948307e-02	9.060930301135445e-01	9.741297029401940e-01	6.464392146892751e-02	2.705489572199139e+00	8.718184210292065e-01	9.621731897882022e-01	9.283409618933998e-01	-2.861195959169499e-01	
49	4.960500001910000e-01	-5.311153541819326e-02	9.010333034822585e-01	9.751989509999661e-01	6.128778582400737e-02	2.692328221982236e+00	8.650036756774391e-01	9.600129899021776e-01	9.354181262303436e-01	-3.013310810771449e-01	
50	4.802699983120000e-01	-5.407492053959814e-02	8.958123453796795e-01	9.762314239625652e-01	5.774551336107941e-02	2.678741203533041e+00	8.579780269337863e-01	9.577653527091577e-01	9.427588330198438e-01	-3.170133327370841e-01	
51	4.645099937920000e-01	-5.497835513414191e-02	8.901393363628332e-01	9.772692132764939e-01	5.410299411710214e-02	2.663975050548176e+00	8.503468082734033e-01	9.552962929915843e-01	9.507967168627516e-01	-3.340473029611535e-01	
52	4.487800002100000e-01	-5.581859897363720e-02	8.839735728701722e-01	9.782165429347843e-01	5.045797558828038e-02	2.647897520267772e+00	8.420815656092520e-01	9.526094347765387e-01	9.595138599846057e-01	-3.524965053364912e-01	
